R	53.3347	-6.22979	E840	01 Feb 2024	E840\n19:05 - Bray to Malahide (3 mins late)\nArrived Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3397	-6.23773	E254	01 Feb 2024	E254\n18:50 - Malahide to Bray (20 mins late)\nArrived Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.3397	-6.23773	E941	01 Feb 2024	E941\n18:55 - Bray to Howth (10 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3432	-8.47231	A714	01 Feb 2024	A714\n17:30 - Dublin Heuston to Galway (4 mins late)\nArrived Woodlawn next stop Athenry	To Galway
R	53.3433	-6.24829	E127	01 Feb 2024	E127\n18:57 - Howth to Greystones (17 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	P419	01 Feb 2024	P419\n18:53 - Hazelhatch to Grand Canal Dock (13 mins late)\nArrived Tara Street next stop Dublin Pearse	Northbound
R	53.3531	-6.24591	E255	01 Feb 2024	E255\n19:10 - Malahide to Bray (5 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3602	-7.79847	A808	01 Feb 2024	A808\n18:15 - Dublin Heuston to Westport (7 mins late)\nDeparted Clonydonnin next stop Athlone	To Westport
R	53.3629	-6.22753	E256	01 Feb 2024	E256\n19:20 - Howth to Bray (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	D421	01 Feb 2024	D421\n19:13 - Grand Canal Dock to Hazelhatch (16 mins late)\nArrived Drumcondra next stop Park West and Cherry Orchard	Southbound
R	53.3725	-6.29869	D932	01 Feb 2024	D932\n19:00 - Dublin Pearse to Maynooth (26 mins late)\nArrived Broombridge next stop Pelletstown	Northbound
R	53.3725	-6.29869	P325	01 Feb 2024	P325\n18:40 - M3 Parkway to Docklands (31 mins late)\nDeparted Broombridge next stop Docklands	Southbound
R	53.3725	-6.29869	P758	01 Feb 2024	P758\n18:58 - Maynooth to Dublin Connolly (19 mins late)\nDeparted Broombridge next stop Drumcondra	Southbound
R	53.3743	-6.48624	P759	01 Feb 2024	P759\n19:18 - Maynooth to Dublin Connolly (13 mins late)\nDeparted Leixlip (Confey) next stop Clonsilla	Southbound
R	53.3776	-6.39072	A914	01 Feb 2024	A914\n19:17 - Dublin Connolly to Sligo (7 mins late)\nDeparted Coolmine next stop Maynooth	Northbound
R	53.3786	-6.19131	E940	01 Feb 2024	E940\n18:35 - Bray to Howth (11 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.3815	-6.17699	E128	01 Feb 2024	E128\n19:30 - Malahide to Greystones (1 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.3853	-6.44205	P771	01 Feb 2024	P771\n19:15 - M3 Parkway to Dublin Connolly (22 mins late)\nArrived Hansfield next stop Clonsilla	Southbound
R	53.4032	-6.14839	P623	01 Feb 2024	P623\n18:50 - Drogheda to Dublin Pearse (11 mins late)\nDeparted Clongriffin next stop Dublin Connolly	Southbound
R	53.4169	-6.1512	E838	01 Feb 2024	E838\n18:25 - Bray to Malahide (9 mins late)\nDeparted Portmarnock next stop Malahide	Northbound
R	53.4273	-7.93683	A810	01 Feb 2024	A810\n21:08 - Athlone to Westport (-113 mins late)\nDeparted Athlone next stop Roscommon	To Westport
R	53.4933	-7.15576	A913	01 Feb 2024	A913\n16:55 - Sligo to Dublin Connolly (16 mins late)\nArrived Killucan next stop Enfield	Southbound
R	53.4933	-7.15576	D929	01 Feb 2024	D929\n18:16 - Dublin Connolly to Longford (21 mins late)\nArrived Killucan next stop Mullingar	Northbound
R	53.5201	-6.1439	D824	01 Feb 2024	D824\n18:50 - Dublin Connolly to Drogheda (30 mins late)\nDeparted Rush and Lusk next stop Skerries	Northbound
R	53.523	-7.34608	D925	01 Feb 2024	D925\n17:17 - Dublin Connolly to Longford (22 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.8591	-7.9164	A912	01 Feb 2024	A912\n17:10 - Dublin Connolly to Sligo (25 mins late)\nDeparted Dromod next stop Carrick on Shannon	Northbound
R	54.0887	-8.52088	A915	01 Feb 2024	A915\n19:05 - Sligo to Dublin Connolly (10 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.2043	-6.10046	E252	01 Feb 2024	E252\n18:20 - Howth to Bray(6 mins late)\nTERMINATED Bray at 19:41	Southbound
T	53.2736	-9.04696	A489	01 Feb 2024	A489\n17:50 - Galway to Limerick(0 mins late)\nTERMINATED Galway at 19:51	To Limerick
T	53.3223	-6.52356	D420	01 Feb 2024	D420\n18:40 - Grand Canal Dock to Hazelhatch(10 mins late)\nTERMINATED Hazelhatch at 19:38	Southbound
T	53.3433	-6.24829	P622	01 Feb 2024	P622\n18:02 - Drogheda to Dublin Pearse(32 mins late)\nTERMINATED Dublin Pearse at 19:39	Southbound
T	53.378	-6.58993	D931	01 Feb 2024	D931\n18:34 - Dublin Pearse to Maynooth(17 mins late)\nTERMINATED Maynooth at 19:42	Northbound
T	53.4273	-7.93683	A721	01 Feb 2024	A721\n18:10 - Galway to Athlone(1 mins late)\nTERMINATED Athlone at 19:40	To Athlone
T	53.4349	-6.46898	D323	01 Feb 2024	D323\n19:00 - Docklands to M3 Parkway(5 mins late)\nTERMINATED M3 Parkway at 19:42	Northbound
T	54.0007	-6.41291	D822	01 Feb 2024	D822\n18:00 - Dublin Pearse to Dundalk(4 mins late)\nTERMINATED Dundalk at 19:37	Northbound
